"Time","Sun Mass","Sun Position X","Sun Position Y","Sun Position Z","Sun Velocity X","Sun Velocity Y","Sun Velocity Z","Sun Acceleration X","Sun Acceleration Y","Sun Acceleration Z","Sun Force X","Sun Force Y","Sun Force Z","Earth Mass","Earth Position X","Earth Position Y","Earth Position Z","Earth Velocity X","Earth Velocity Y","Earth Velocity Z","Earth Acceleration X","Earth Acceleration Y","Earth Acceleration Z","Earth Force X","Earth Force Y","Earth Force Z","Moon Mass","Moon Position X","Moon Position Y","Moon Position Z","Moon Velocity X","Moon Velocity Y","Moon Velocity Z","Moon Acceleration X","Moon Acceleration Y","Moon Acceleration Z","Moon Force X","Moon Force Y","Moon Force Z"
"0.2004","2.707116E+07","7.254891E-07","0","-0.000129571","6.683412E-06","0","-0.0006465411","3.334917E-05","0","3.507287E-07","902.8008","0","9.494634","81.28001","4056.434","0","42.64109","-2.212124","0","212.7737","-11.03763","0","-0.1052569","-897.1384","0","-8.555285","1","4046.552","0","44.15038","-1.126277","0","220.2561","-5.66236","0","-0.9393494","-5.66236","0","-0.9393494"
"0.2171","2.707116E+07","8.464029E-07","0","-0.0001403681","7.240344E-06","0","-0.0006465352","3.334886E-05","0","3.799551E-07","902.7924","0","10.28583","81.28001","4056.394","0","46.19438","-2.396452","0","212.772","-11.03739","0","-0.1140362","-897.1191","0","-9.26886","1","4046.531","0","47.82839","-1.220839","0","220.2404","-5.673243","0","-1.016967","-5.673243","0","-1.016967"
"0.2338","2.707116E+07","9.766172E-07","0","-0.0001511651","7.79727E-06","0","-0.0006465289","3.334853E-05","0","4.091814E-07","902.7834","0","11.07701","81.28001","4056.351","0","49.74764","-2.580777","0","212.7701","-11.03714","0","-0.1228167","-897.0986","0","-9.982542","1","4046.51","0","51.50612","-1.315582","0","220.2234","-5.684819","0","-1.094472","-5.684819","0","-1.094472"
"0.2505","2.707116E+07","1.116132E-06","0","-0.000161962","8.354191E-06","0","-0.0006465221","3.334818E-05","0","4.384073E-07","902.7739","0","11.86819","81.28001","4056.305","0","53.30087","-2.765097","0","212.768","-11.03687","0","-0.1315995","-897.0765","0","-10.69641","1","4046.486","0","55.18354","-1.410519","0","220.2051","-5.697338","0","-1.171788","-5.697338","0","-1.171788"
"0.2672","2.707116E+07","1.264948E-06","0","-0.0001727588","8.911105E-06","0","-0.0006465148","3.334779E-05","0","4.676328E-07","902.7634","0","12.65936","81.28001","4056.255","0","56.85406","-2.949413","0","212.7658","-11.03657","0","-0.1403846","-897.0526","0","-11.41046","1","4046.461","0","58.86064","-1.505664","0","220.1855","-5.710791","0","-1.248902","-5.710791","0","-1.248902"
"0.2839","2.707116E+07","1.423064E-06","0","-0.0001835555","9.468014E-06","0","-0.000646507","3.334738E-05","0","4.96858E-07","902.7522","0","13.45052","81.28001","4056.203","0","60.40721","-3.133723","0","212.7635","-11.03625","0","-0.1491733","-897.0268","0","-12.12481","1","4046.434","0","62.53739","-1.601034","0","220.1647","-5.725422","0","-1.325713","-5.725422","0","-1.325713"
"0.3006","2.707116E+07","1.59048E-06","0","-0.000194352","1.002491E-05","0","-0.0006464986","3.334694E-05","0","5.260829E-07","902.7404","0","14.24167","81.28001","4056.148","0","63.96032","-3.318029","0","212.761","-11.03592","0","-0.1579638","-896.9996","0","-12.8393","1","4046.406","0","66.21378","-1.696649","0","220.1425","-5.740719","0","-1.402372","-5.740719","0","-1.402372"
"0.3173","2.707116E+07","1.767196E-06","0","-0.0002051484","1.058181E-05","0","-0.0006464898","3.334647E-05","0","5.553074E-07","902.7278","0","15.03281","81.28001","4056.089","0","67.51338","-3.502329","0","212.7583","-11.03557","0","-0.1667573","-896.9709","0","-13.55404","1","4046.376","0","69.88976","-1.792519","0","220.1191","-5.756925","0","-1.47878","-5.756925","0","-1.47878"
"0.334","2.707116E+07","1.953212E-06","0","-0.0002159446","1.113869E-05","0","-0.0006464806","3.334598E-05","0","5.845313E-07","902.7144","0","15.82394","81.28001","4056.028","0","71.0664","-3.686623","0","212.7556","-11.03519","0","-0.1755538","-896.9404","0","-14.26901","1","4046.344","0","73.56534","-1.888659","0","220.0944","-5.774029","0","-1.554929","-5.774029","0","-1.554929"
"0.3507","2.707116E+07","2.148528E-06","0","-0.0002267407","1.169557E-05","0","-0.0006464708","3.334547E-05","0","6.13755E-07","902.7004","0","16.61506","81.28001","4055.963","0","74.61937","-3.87091","0","212.7526","-11.0348","0","-0.1843535","-896.9084","0","-14.98426","1","4046.311","0","77.24048","-1.985086","0","220.0685","-5.79202","0","-1.630803","-5.79202","0","-1.630803"
