"Time","Sun Mass","Sun Position X","Sun Position Y","Sun Position Z","Sun Velocity X","Sun Velocity Y","Sun Velocity Z","Sun Acceleration X","Sun Acceleration Y","Sun Acceleration Z","Sun Force X","Sun Force Y","Sun Force Z","Earth Mass","Earth Position X","Earth Position Y","Earth Position Z","Earth Velocity X","Earth Velocity Y","Earth Velocity Z","Earth Acceleration X","Earth Acceleration Y","Earth Acceleration Z","Earth Force X","Earth Force Y","Earth Force Z","Moon Mass","Moon Position X","Moon Position Y","Moon Position Z","Moon Velocity X","Moon Velocity Y","Moon Velocity Z","Moon Acceleration X","Moon Acceleration Y","Moon Acceleration Z","Moon Force X","Moon Force Y","Moon Force Z"
"0","5600.655","0","0","0","0","0","0","0","0","0","0","0","0","650.2401","100","0","0","0","0","20.58886","-3.802337","0","0","-2472.432","0","0","1","90","0","0","0","0","41.99504","38.75912","0","0","38.75912","0","0"
"0.0167","5600.655","0","0","0","0","0","0","0","0","0","0","0","0","650.2401","99.99894","0","0.343834","-0.06349902","0","20.58886","-3.80238","0","-0.01045623","-2472.46","0","-6.799062","1","90.01081","0","0.7013172","0.6472773","0","41.99504","38.7804","0","-1.588913","38.7804","0","-1.588913"
"0.0334","5600.655","0","0","0","0","0","0","0","0","0","0","0","0","650.2401","99.99682","0","0.687665","-0.1269988","0","20.58868","-3.802273","0","-0.02090904","-2472.39","0","-13.5959","1","90.03243","0","1.402191","1.29491","0","41.96851","38.73993","0","-3.180063","38.73993","0","-3.180063"
"0.0501","5600.655","0","0","0","0","0","0","0","0","0","0","0","0","650.2401","99.99364","0","1.03149","-0.1904967","0","20.58834","-3.802013","0","-0.03136309","-2472.221","0","-20.39354","1","90.06487","0","2.102178","1.941867","0","41.9154","38.63762","0","-4.770175","38.63762","0","-4.770175"
"0.0668","5600.655","0","0","0","0","0","0","0","0","0","0","0","0","650.2401","99.9894","0","1.375307","-0.2539903","0","20.58781","-3.801602","0","-0.04182307","-2471.954","0","-27.19504","1","90.10807","0","2.800835","2.587115","0","41.83574","38.47338","0","-6.35594","38.47338","0","-6.35594"
"0.0835","5600.655","0","0","0","0","0","0","0","0","0","0","0","0","650.2401","99.98409","0","1.719111","-0.3174771","0","20.58711","-3.801041","0","-0.0522937","-2471.589","0","-34.00346","1","90.162","0","3.497719","3.22962","0","41.72959","38.24749","0","-7.934077","38.24749","0","-7.934077"
"0.1002","5600.655","0","0","0","0","0","0","0","0","0","0","0","0","650.2401","99.97773","0","2.062901","-0.3809544","0","20.58624","-3.800329","0","-0.06277961","-2471.127","0","-40.82182","1","90.2266","0","4.19239","3.868354","0","41.59709","37.9604","0","-9.50134","37.9604","0","-9.50134"
"0.1169","5600.655","0","0","0","0","0","0","0","0","0","0","0","0","650.2401","99.97031","0","2.406674","-0.44442","0","20.58519","-3.799468","0","-0.07328524","-2470.566","0","-47.65301","1","90.30179","0","4.884412","4.502292","0","41.43842","37.61278","0","-11.05455","37.61278","0","-11.05455"
"0.1336","5600.655","0","0","0","0","0","0","0","0","0","0","0","0","650.2401","99.96182","0","2.750426","-0.507871","0","20.58397","-3.798459","0","-0.08381514","-2469.91","0","-54.49997","1","90.38747","0","5.57335","5.130425","0","41.25381","37.20548","0","-12.59058","37.20548","0","-12.59058"
"0.1503","5600.655","0","0","0","0","0","0","0","0","0","0","0","0","650.2401","99.95228","0","3.094155","-0.5713053","0","20.58257","-3.797306","0","-0.09437361","-2469.16","0","-61.36551","1","90.48352","0","6.258778","5.751757","0","41.04354","36.73953","0","-14.10641","36.73953","0","-14.10641"
